ExternalID,CategoryName,CategoryLevel,ParentCategoryExternalID,Non Taxable Flag,,
601 02A Gum/Mints,601 02A Gum/Mints,2,601 General Merchan,n,,
601 02B Bag Candy,601 02B Bag Candy,2,601 General Merchan,n,,
601 02G Gum/Mints Kids,601 02G Gum/Mints Kids,2,601 General Merchan,n,,
601 02K Candy- Kids,601 02K Candy- Kids,2,601 General Merchan,n,,
601 02S Candy-Holiday,601 02S Candy-Holiday,2,601 General Merchan,n,,
601 02W Candy W/Flour,601 02W Candy W/Flour,2,601 General Merchan,n,,
601 02X Bag Candy W/Flour,601 02X Bag Candy W/Flour,2,601 General Merchan,n,,
601 03 Cookie/Cracker,601 03 Cookie/Cracker,2,601 General Merchan,n,,
601 04 Snack,601 04 Snack,2,601 General Merchan,n,,
601 04A Chips,601 04A Chips,2,601 General Merchan,n,,
601 04B Salty,601 04B Salty,2,601 General Merchan,n,,
601 04C Meat Snacks,601 04C Meat Snacks,2,601 General Merchan,n,,
601 05 Pastry,601 05 Pastry,2,601 General Merchan,n,,
601 06 Bread,601 06 Bread,2,601 General Merchan,n,,
601 07 Dairy,601 07 Dairy,2,601 General Merchan,n,,
601 08 Ice Cream,601 08 Ice Cream,2,601 General Merchan,n,,
601 09 Packaged Deli,601 09 Packaged Deli,2,601 General Merchan,n,,
601 10 Bottled-Water,601 10 Bottled-Water,2,601 General Merchan,n,,
601 11 Flavor Water Carb,601 11 Flavor Water Carb,2,601 General Merchan,n,,
601 11A Flvr Watr Noncarb,601 11A Flvr Watr Noncarb,2,601 General Merchan,n,,
601 11B Flvr Watr Noncarb Othe,601 11B Flvr Watr Noncarb Othe,2,601 General Merchan,n,,
601 11C Flvr Watr Carb Dairy,601 11C Flvr Watr Carb Dairy,2,601 General Merchan,n,,
601 12 Juice 100%,601 12 Juice 100%,2,601 General Merchan,n,,
601 12A Juice Blend,601 12A Juice Blend,2,601 General Merchan,n,,
601 12B Juice Blend Carb,601 12B Juice Blend Carb,2,601 General Merchan,n,,
601 13 Sprtdrk Noncarb,601 13 Sprtdrk Noncarb,2,601 General Merchan,n,,
601 13A Energy Drink Carb,601 13A Energy Drink Carb,2,601 General Merchan,n,,
601 13B Energy Drink Other,601 13B Energy Drink Other,2,601 General Merchan,n,,
601 13C Energy Drink Noncarb,601 13C Energy Drink Noncarb,2,601 General Merchan,n,,
601 13D RELAXATION BEVERA,601 13D RELAXATION BEVERA,2,601 General Merchan,n,,
601 13E Energy Restricted,601 13E Energy Restricted,2,601 General Merchan,n,,
601 14 Tea,601 14 Tea,2,601 General Merchan,n,,
601 14A Tea Energy,601 14A Tea Energy,2,601 General Merchan,n,,
601 14B Tea Unsweet,601 14B Tea Unsweet,2,601 General Merchan,n,,
601 14C Tea Relaxation,601 14C Tea Relaxation,2,601 General Merchan,n,,
601 14D Tea Carb,601 14D Tea Carb,2,601 General Merchan,n,,
601 15 HBA,601 15 HBA,2,601 General Merchan,n,,
601 15A HBA-Oral Medication,601 15A HBA-Oral Medication,2,601 General Merchan,n,,
601 15B Pep & Energy Restricte,601 15B Pep & Energy Restricte,2,601 General Merchan,n,,
601 15C Pep & Energy Shots,601 15C Pep & Energy Shots,2,601 General Merchan,n,,
601 15D NEW Pep & Engy Rstrctd,601 15D NEW Pep & Engy Rstrctd,2,601 General Merchan,n,,
601 17 Frozen Food,601 17 Frozen Food,2,601 General Merchan,n,,
601 17A Frozen Food-Simeks Onl,601 17A Frozen Food-Simeks Onl,2,601 General Merchan,n,,
601 18 Cigarette Lighters,601 18 Cigarette Lighters,2,601 General Merchan,n,,
601 19 Sunglasses,601 19 Sunglasses,2,601 General Merchan,n,,
601 20 Oil,601 20 Oil,2,601 General Merchan,n,,
601 20A Auto/Truck Additives &,601 20A Auto/Truck Additives &,2,601 General Merchan,n,,
601 20B Auto/Truck Misc. & Acc,601 20B Auto/Truck Misc. & Acc,2,601 General Merchan,n,,
601 21 Clothing,601 21 Clothing,2,601 General Merchan,n,,
601 22 Novelty,601 22 Novelty,2,601 General Merchan,n,,
601 22B Postage Stamps,601 22B Postage Stamps,2,601 General Merchan,n,,
601 22C Phone/Accessories,601 22C Phone/Accessories,2,601 General Merchan,n,,
601 23 Household~Paper~Chemcl,601 23 Household~Paper~Chemcl,2,601 General Merchan,n,,
601 24 Film/Batteries,601 24 Film/Batteries,2,601 General Merchan,n,,
601 25 Maps,601 25 Maps,2,601 General Merchan,n,,
601 26 School Supplies,601 26 School Supplies,2,601 General Merchan,n,,
601 27 Seasonal Items,601 27 Seasonal Items,2,601 General Merchan,n,,
601 28 Newspapers,601 28 Newspapers,2,601 General Merchan,n,,
601 28A Periodicals,601 28A Periodicals,2,601 General Merchan,n,,
601 30 Pet Goods,601 30 Pet Goods,2,601 General Merchan,n,,
601 31 Outside Items,601 31 Outside Items,2,601 General Merchan,n,,
601 33 Grocery,601 33 Grocery,2,601 General Merchan,n,,
601 34 Non-Foods,601 34 Non-Foods,2,601 General Merchan,n,,
601 34A Non-Foods / Non-Tax,601 34A Non-Foods / Non-Tax,2,601 General Merchan,n,,
601 35 Fireworks,601 35 Fireworks,2,601 General Merchan,n,,
601 36 BULK PROPANE,601 36 BULK PROPANE,2,601 General Merchan,n,,
601 37 Bulk Water,601 37 Bulk Water,2,601 General Merchan,n,,
601 38 Checkout Bag Tax,601 38 Checkout Bag Tax,2,601 General Merchan,n,,
601 39 Sweetened Beverage Tax,601 39 Sweetened Beverage Tax,2,601 General Merchan,n,,
601 40 EM Car Wash Gift Card,601 40 EM Car Wash Gift Card,2,601 General Merchan,n,,
601 41 Non Inventory Items,601 41 Non Inventory Items,2,601 General Merchan,n,,
601 42 Franchise Open Dept,601 42 Franchise Open Dept,2,601 General Merchan,n,,
702 01 State Lottery Loyalty,702 01 State Lottery Loyalty,2,702 State Lottery Loyalty,n,,
703 01 Sony Mgm Dvd,703 01 Sony Mgm Dvd,2,703 Sony MGM,n,,
704 C01 Gift/ Gaming/ Music Ca,704 C01 Gift/ Gaming/ Music Ca,2,704 Incomm Prepaid Cards,n,,
704 C02 Prepaid Phone Card,704 C02 Prepaid Phone Card,2,704 Incomm Prepaid Cards,n,,
704 C03 Incomm Prepaid w/ Fees,704 C03 Incomm Prepaid w/ Fees,2,704 Incomm Prepaid Cards,n,,
704 C04 Incomm Prepaid w/Fees,704 C04 Incomm Prepaid w/Fees,2,704 Incomm Prepaid Cards,y,,
704 C05 Harley Davidson,704 C05 Harley Davidson,2,704 Incomm Prepaid Cards,n,,
704 C06 TollPass-Incomm/W fe,704 C06 TollPass-Incomm/W fe,2,704 Incomm Prepaid Cards,y,,
704 C98 Incomm Prepaid Fee,704 C98 Incomm Prepaid Fee,2,704 Incomm Prepaid Cards,y,,
704 D01 Incomm Swipe Reload,704 D01 Incomm Swipe Reload,2,704 Incomm Prepaid Cards,n,,
704 F02 Fast Pin/ AT&T,704 F02 Fast Pin/ AT&T,2,704 Incomm Prepaid Cards,n,,
704 F03 Fast Pin/ Boost,704 F03 Fast Pin/ Boost,2,704 Incomm Prepaid Cards,n,,
704 F07 Fast Pin/ Page Plus,704 F07 Fast Pin/ Page Plus,2,704 Incomm Prepaid Cards,n,,
704 F08 Fast Pin/ STIMobile,704 F08 Fast Pin/ STIMobile,2,704 Incomm Prepaid Cards,n,,
704 F09 Fast Pin/ TMobile,704 F09 Fast Pin/ TMobile,2,704 Incomm Prepaid Cards,n,,
704 F10 Fast Pin/ Tracfone,704 F10 Fast Pin/ Tracfone,2,704 Incomm Prepaid Cards,n,,
704 F11 Fast Pin/ Verizon,704 F11 Fast Pin/ Verizon,2,704 Incomm Prepaid Cards,n,,
704 F12 Fast Pin/ Virgin Mobil,704 F12 Fast Pin/ Virgin Mobil,2,704 Incomm Prepaid Cards,n,,
704 F15 Fast Pin/ Ready Mobile,704 F15 Fast Pin/ Ready Mobile,2,704 Incomm Prepaid Cards,n,,
704 F17 Fast Pin/Ready Mobile,704 F17 Fast Pin/Ready Mobile,2,704 Incomm Prepaid Cards,n,,
704 F18 Fast Pin/ Ready Mobile,704 F18 Fast Pin/ Ready Mobile,2,704 Incomm Prepaid Cards,n,,
704 F19 Fast Pin/ Page Plus Un,704 F19 Fast Pin/ Page Plus Un,2,704 Incomm Prepaid Cards,n,,
704 F20 Fast Pin/ NET 10 Unlim,704 F20 Fast Pin/ NET 10 Unlim,2,704 Incomm Prepaid Cards,n,,
704 F21 Fast Pin/ Cricket Pay,704 F21 Fast Pin/ Cricket Pay,2,704 Incomm Prepaid Cards,n,,
704 F22 Fast Pin/ Virgin 2010,704 F22 Fast Pin/ Virgin 2010,2,704 Incomm Prepaid Cards,n,,
704 F23 Fast Pin/Ready Mobile,704 F23 Fast Pin/Ready Mobile,2,704 Incomm Prepaid Cards,n,,
704 F25 Fast Pin/EZE Top Int|l,704 F25 Fast Pin/EZE Top Int|l,2,704 Incomm Prepaid Cards,n,,
704 F26 Fast Pin/XBox Dig Del,704 F26 Fast Pin/XBox Dig Del,2,704 Incomm Prepaid Cards,n,,
704 F29 Fast Pin/Alltel,704 F29 Fast Pin/Alltel,2,704 Incomm Prepaid Cards,n,,
704 F30 Fast Pin/Xbox Dig Memb,704 F30 Fast Pin/Xbox Dig Memb,2,704 Incomm Prepaid Cards,n,,
704 F31 Fast Pin/Xbox GC,704 F31 Fast Pin/Xbox GC,2,704 Incomm Prepaid Cards,n,,
704 F32 Fast Pin/ATT Mob,704 F32 Fast Pin/ATT Mob,2,704 Incomm Prepaid Cards,n,,
704 F33 Fast Pin/Call Ch $3,704 F33 Fast Pin/Call Ch $3,2,704 Incomm Prepaid Cards,n,,
704 F34 Fast Pin/Call Ch $5,704 F34 Fast Pin/Call Ch $5,2,704 Incomm Prepaid Cards,n,,
704 F35 Fast Pin/Call Ch $10,704 F35 Fast Pin/Call Ch $10,2,704 Incomm Prepaid Cards,n,,
704 F36 Fast Pin/Glob Mex $3,704 F36 Fast Pin/Glob Mex $3,2,704 Incomm Prepaid Cards,n,,
704 F37 Fast Pin/Glob Mex $5,704 F37 Fast Pin/Glob Mex $5,2,704 Incomm Prepaid Cards,n,,
704 F38 Fast Pin/Glob Mex $10,704 F38 Fast Pin/Glob Mex $10,2,704 Incomm Prepaid Cards,n,,
704 F39 Fast Pin/Glob Wld $3,704 F39 Fast Pin/Glob Wld $3,2,704 Incomm Prepaid Cards,n,,
704 F40 Fast Pin/Glob Wld $5,704 F40 Fast Pin/Glob Wld $5,2,704 Incomm Prepaid Cards,n,,
704 F41 Fast Pin/Glob Wld $10,704 F41 Fast Pin/Glob Wld $10,2,704 Incomm Prepaid Cards,n,,
704 F44 Fast Pin/ Net 10,704 F44 Fast Pin/ Net 10,2,704 Incomm Prepaid Cards,n,,
704 F45 Fast Pin/ T-Mobile,704 F45 Fast Pin/ T-Mobile,2,704 Incomm Prepaid Cards,n,,
704 F46 Fast Pin/ Verizon,704 F46 Fast Pin/ Verizon,2,704 Incomm Prepaid Cards,n,,
704 F47 Fast Pin/AirLink,704 F47 Fast Pin/AirLink,2,704 Incomm Prepaid Cards,n,,
704 F48 Fast Pin/LifeWireless,704 F48 Fast Pin/LifeWireless,2,704 Incomm Prepaid Cards,n,,
704 F49 Fast Pin/Locus H20,704 F49 Fast Pin/Locus H20,2,704 Incomm Prepaid Cards,n,,
704 F50 Fast Pin/Ntelos Frawg,704 F50 Fast Pin/Ntelos Frawg,2,704 Incomm Prepaid Cards,n,,
704 F51 Fast Pin/PlatinumTel T,704 F51 Fast Pin/PlatinumTel T,2,704 Incomm Prepaid Cards,n,,
704 F52 Fast Pin/RedPocket,704 F52 Fast Pin/RedPocket,2,704 Incomm Prepaid Cards,n,,
704 F53 Fast Pin/LycaMobile,704 F53 Fast Pin/LycaMobile,2,704 Incomm Prepaid Cards,n,,
704 F55 Fast Pin/ReadyMobile,704 F55 Fast Pin/ReadyMobile,2,704 Incomm Prepaid Cards,n,,
704 F57 GoSmart FastPin/GoSmar,704 F57 GoSmart FastPin/GoSmar,2,704 Incomm Prepaid Cards,n,,
704 F58 FastPin/ Simple,704 F58 FastPin/ Simple,2,704 Incomm Prepaid Cards,n,,
704 F59 FastPin/Ultra Moblie,704 F59 FastPin/Ultra Moblie,2,704 Incomm Prepaid Cards,n,,
704 F60 FastPin/ Univision (F),704 F60 FastPin/ Univision (F),2,704 Incomm Prepaid Cards,n,,
704 F61 FP/ AT&T Mobile,704 F61 FP/ AT&T Mobile,2,704 Incomm Prepaid Cards,n,,
704 F62 FP/ US CELLULAR,704 F62 FP/ US CELLULAR,2,704 Incomm Prepaid Cards,n,,
704 F63 FP/TRAC,704 F63 FP/TRAC,2,704 Incomm Prepaid Cards,n,,
704 F64 Ptel-GIV Mobile,704 F64 Ptel-GIV Mobile,2,704 Incomm Prepaid Cards,n,,
704 F65 ACCESS WIRELESS,704 F65 ACCESS WIRELESS,2,704 Incomm Prepaid Cards,n,,
704 F67 SIMPLE MOBILE,704 F67 SIMPLE MOBILE,2,704 Incomm Prepaid Cards,n,,
704 F68 XBOX LIVE,704 F68 XBOX LIVE,2,704 Incomm Prepaid Cards,n,,
704 F69 XBOX CSV,704 F69 XBOX CSV,2,704 Incomm Prepaid Cards,n,,
704 F70 XBOX MASS,704 F70 XBOX MASS,2,704 Incomm Prepaid Cards,n,,
704 F71 Fast Pin/ Assurance,704 F71 Fast Pin/ Assurance,2,704 Incomm Prepaid Cards,n,,
704 F72 Fast Pin/ SafeLink,704 F72 Fast Pin/ SafeLink,2,704 Incomm Prepaid Cards,n,,
704 F73 FP/PlayStation,704 F73 FP/PlayStation,2,704 Incomm Prepaid Cards,n,,
704 F74 FP/TOTAL WIRELESS,704 F74 FP/TOTAL WIRELESS,2,704 Incomm Prepaid Cards,n,,
705 F02 BC Netspend Fees,705 F02 BC Netspend Fees,2,705 Netspend,n,,
705 RA1 Net MC Reload Act,705 RA1 Net MC Reload Act,2,705 Netspend,n,,
705 RA2 Net Visa Activate,705 RA2 Net Visa Activate,2,705 Netspend,n,,
705 RA4 Net Meta MC Activate,705 RA4 Net Meta MC Activate,2,705 Netspend,n,,
705 RR1 Net MC Reload Recharge,705 RR1 Net MC Reload Recharge,2,705 Netspend,n,,
706 01 Nexxus - Newspaper,706 01 Nexxus - Newspaper,2,706 Consignment - Gen Mdse,n,,
706 02 Nexxus - Trader Publica,706 02 Nexxus - Trader Publica,2,706 Consignment - Gen Mdse,n,,
706 03 Nexxus - Maps/Atlas,706 03 Nexxus - Maps/Atlas,2,706 Consignment - Gen Mdse,n,,
706 04 Nexxus - Novelty,706 04 Nexxus - Novelty,2,706 Consignment - Gen Mdse,n,,
706 05 Nexxus - Magazines,706 05 Nexxus - Magazines,2,706 Consignment - Gen Mdse,n,,
706 06 Nexxus - Propane,706 06 Nexxus - Propane,2,706 Consignment - Gen Mdse,n,,
706 07 Nexxus - Candy,706 07 Nexxus - Candy,2,706 Consignment - Gen Mdse,n,,
706 07A Nexxus - Candy w/Flour,706 07A Nexxus - Candy w/Flour,2,706 Consignment - Gen Mdse,n,,
706 08 Nexxus - Snack,706 08 Nexxus - Snack,2,706 Consignment - Gen Mdse,n,,
706 09 Nexxus - Ice Cream,706 09 Nexxus - Ice Cream,2,706 Consignment - Gen Mdse,n,,
706 10 SBT Ticket Sales,706 10 SBT Ticket Sales,2,706 Consignment - Gen Mdse,n,,
706 11 Nexxus - Regional Chips,706 11 Nexxus - Regional Chips,2,706 Consignment - Gen Mdse,n,,
706 12 Nexxus - Alt Tobacco,706 12 Nexxus - Alt Tobacco,2,706 Consignment - Gen Mdse,n,,
706 13 NEXXUS - Greeting Cards,706 13 NEXXUS - Greeting Cards,2,706 Consignment - Gen Mdse,n,,
706 14 SBT Chips,706 14 SBT Chips,2,706 Consignment - Gen Mdse,n,,
706 15 PUGS - Energy Restricte,706 15 PUGS - Energy Restricte,2,706 Consignment - Gen Mdse,n,,
706 15C PUGS - Energy,706 15C PUGS - Energy,2,706 Consignment - Gen Mdse,n,,
706 15D PUGS Pill Non-Restrict,706 15D PUGS Pill Non-Restrict,2,706 Consignment - Gen Mdse,n,,
706 19 PUGS Sunglasses,706 19 PUGS Sunglasses,2,706 Consignment - Gen Mdse,n,,
706 21 PUGS - Clothing/Novelty,706 21 PUGS - Clothing/Novelty,2,706 Consignment - Gen Mdse,n,,
706 22 PUGS Phone Accessories,706 22 PUGS Phone Accessories,2,706 Consignment - Gen Mdse,n,,
706 27 PUGS Seasonal Items,706 27 PUGS Seasonal Items,2,706 Consignment - Gen Mdse,n,,
706 28 SBT Pastry,706 28 SBT Pastry,2,706 Consignment - Gen Mdse,n,,
706 29 SBT Movies,706 29 SBT Movies,2,706 Consignment - Gen Mdse,n,,
706 30 SBT Flowers,706 30 SBT Flowers,2,706 Consignment - Gen Mdse,n,,
706 31 SBT Magazines,706 31 SBT Magazines,2,706 Consignment - Gen Mdse,n,,
707 01 Home City Ice,707 01 Home City Ice,2,707 Consignment - Foodservice,n,,
707 02 Arctic Ice,707 02 Arctic Ice,2,707 Consignment - Foodservice,n,,
707 03 DD Franchise Tax,707 03 DD Franchise Tax,2,707 Consignment - Foodservice,n,,
707 04 DD Franchise Non Tax,707 04 DD Franchise Non Tax,2,707 Consignment - Foodservice,y,,
707 05 Krispy Kreme Loose,707 05 Krispy Kreme Loose,2,707 Consignment - Foodservice,n,,
707 06 Krispy Kreme Packaged,707 06 Krispy Kreme Packaged,2,707 Consignment - Foodservice,n,,
707 07 UPIC,707 07 UPIC,2,707 Consignment - Foodservice,n,,
707 08 Shamrock Ice,707 08 Shamrock Ice,2,707 Consignment - Foodservice,n,,
708 C03 Moneygram Ppd w/ Fees,708 C03 Moneygram Ppd w/ Fees,2,708 Moneygram,n,,
76 01 Office Supplies,76 01 Office Supplies,2,76 Office Supplies,n,,
77 01 Store Supplies,77 01 Store Supplies,2,77 Store Supplies,n,,
77 02 PREPAID CARD SUPPLIES,77 02 PREPAID CARD SUPPLIES,2,77 Store Supplies,n,,
77 03 Magazine Supplies,77 03 Magazine Supplies,2,77 Store Supplies,n,,
800 01 Vacuum Income,800 01 Vacuum Income,2,800 Miscellanous Sales,n,,
800 02 Fax Income,800 02 Fax Income,2,800 Miscellanous Sales,n,,
800 03 Indianapolis Air Show,800 03 Indianapolis Air Show,2,800 Miscellanous Sales,n,,
800 04 IL State Fair Tickets,800 04 IL State Fair Tickets,2,800 Miscellanous Sales,n,,
800 05 Fishing/Hunting License,800 05 Fishing/Hunting License,2,800 Miscellanous Sales,n,,
800 06 Toughman Tickets,800 06 Toughman Tickets,2,800 Miscellanous Sales,n,,
800 07 Shower Income,800 07 Shower Income,2,800 Miscellanous Sales,n,,
800 08 Copy Machine,800 08 Copy Machine,2,800 Miscellanous Sales,n,,
800 09 Washer/Dryer Income,800 09 Washer/Dryer Income,2,800 Miscellanous Sales,n,,
800 10 Scale Income,800 10 Scale Income,2,800 Miscellanous Sales,n,,
800 11 Post Office Sales,800 11 Post Office Sales,2,800 Miscellanous Sales,n,,
800 12 Big Sandy Community,800 12 Big Sandy Community,2,800 Miscellanous Sales,n,,
800 13 Drive off Pay Back,800 13 Drive off Pay Back,2,800 Miscellanous Sales,n,,
800 14 Charity Fund,800 14 Charity Fund,2,800 Miscellanous Sales,n,,
800 15 Cook Cnty Alcohol Tax,800 15 Cook Cnty Alcohol Tax,2,800 Miscellanous Sales,n,,
800 16 Check Cashing Fee,800 16 Check Cashing Fee,2,800 Miscellanous Sales,n,,
800 17 Marathoon Activate/Rech,800 17 Marathoon Activate/Rech,2,800 Miscellanous Sales,n,,
800 18 Truck Diesel,800 18 Truck Diesel,2,800 Miscellanous Sales,n,,
800 19 Bulk DEF,800 19 Bulk DEF,2,800 Miscellanous Sales,n,,
800 20 CAGE FIGHT,800 20 CAGE FIGHT,2,800 Miscellanous Sales,n,,
800 21 Mid American Festivals,800 21 Mid American Festivals,2,800 Miscellanous Sales,n,,
800 22 FRANCHISE NON-INVENTORY,800 22 FRANCHISE NON-INVENTORY,2,800 Miscellanous Sales,n,,
810 01 Carwash,810 01 Carwash,2,810 Carwash,n,,
820 01 Money Order,820 01 Money Order,2,820 Money Order,n,,
820 02 Money Order Fee,820 02 Money Order Fee,2,820 Money Order,n,,
820 03 Money Gram,820 03 Money Gram,2,820 Money Order,n,,
901 01 12Z Can,901 01 12Z Can,2,901 Soft Drinks,n,,
901 01A 12Z Can (Noncarb),901 01A 12Z Can (Noncarb),2,901 Soft Drinks,n,,
901 01B 12Z Can Tea (Noncarb),901 01B 12Z Can Tea (Noncarb),2,901 Soft Drinks,n,,
901 01C 12.5z BOTTLE,901 01C 12.5z BOTTLE,2,901 Soft Drinks,n,,
901 02 16Z Nr Btl/ 16Z Cn (.5L,901 02 16Z Nr Btl/ 16Z Cn (.5L,2,901 Soft Drinks,n,,
901 02A 16z BTL/16z CN (.5L) (,901 02A 16z BTL/16z CN (.5L) (,2,901 Soft Drinks,n,,
901 03 2 Liter,901 03 2 Liter,2,901 Soft Drinks,n,,
901 03A 2 Liter (Noncarb),901 03A 2 Liter (Noncarb),2,901 Soft Drinks,n,,
901 03B 2 Liter Tea (Noncarb),901 03B 2 Liter Tea (Noncarb),2,901 Soft Drinks,n,,
901 04 20Z Nr Bottle,901 04 20Z Nr Bottle,2,901 Soft Drinks,n,,
901 04A 20Z Nr (Noncarb),901 04A 20Z Nr (Noncarb),2,901 Soft Drinks,n,,
901 04B 20Z Nr Tea (Noncarb),901 04B 20Z Nr Tea (Noncarb),2,901 Soft Drinks,n,,
901 05 1 Liter,901 05 1 Liter,2,901 Soft Drinks,n,,
901 05A 1 Liter (Noncarb),901 05A 1 Liter (Noncarb),2,901 Soft Drinks,n,,
901 05B 1 Liter Tea (Noncarb),901 05B 1 Liter Tea (Noncarb),2,901 Soft Drinks,n,,
901 06 3 Liter,901 06 3 Liter,2,901 Soft Drinks,n,,
901 07 8Z Bottle,901 07 8Z Bottle,2,901 Soft Drinks,n,,
901 08 10Z/ 12Z Nr Bottle,901 08 10Z/ 12Z Nr Bottle,2,901 Soft Drinks,n,,
