11029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,u,_009800008216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,u,_009800057719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,u,_009800000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104565,n,HARVEST RIDGE SUB BUNS 17z,,g,601 06 000 Unclassified,Count,,CALBEE NORTH AMERICA LLC,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each ,1,Weight,Wt. Ounce,17,,,,,,General Merchandise,n,y,n,,,Each,1,Grocery,104565-1,1.79,u,_045000605299,Brand-***,HARVEST,Flavor Type-***,Plain,Manufacturer-***,CALBEE NORTH AMERICA LLC,Product Size-***,17oz,Product Type-***,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
104910,n,CONNS PICANTE SALSA,,g,601 04A 410 Dips/Salsas,Count,,CONN POTATO CHIP CO,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each ,1,Weight,Wt. Ounce,0,,,,,,General Merchandise,n,y,n,,,Each,1,DSD Salty/Meat Snacks,104910-1,2.39,u,_032792000685,Brand-***,ALL CONN POTATO CHIP CO,Flavor Type-***,Salsa,Manufacturer-***,CONN POTATO CHIP CO,Product Type-***,Salsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
11205,n,FIRE CRACKER RED HOT PICKLED SSG,,g,601 04C 260 Sausages,Count,,CONAGRA FOODS INC,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,General Merchandise,n,y,n,,,Each,1,Meat Snacks,11205-1,1.49,u,_026200320007,Brand-***,SLIM JIM,Flavor Type-***,Hot,IKB KEY (POG)-***,1984,Manufacturer-***,CONAGRA FOODS INC,Product Size-***,Meat Snacks Sticks/Steaks,Product Type-***,Beef Stick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,SCM Eby Aurora,SCM EBY Aurora & McLane [Without Food Supplies],Transfer Group,SCM Parity DSP Forecast,,,,,
11205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,u,_026200322001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,u,_026200322056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11702,n,SCOTT NAPKINS ASST 120CT,,g,601 23 430 Napkins,Count,,KIMBERLY CLARK CORP,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,General Merchandise,n,y,n,,,Each,1,Grocery,11702-1,3.39,u,_054000581502,Brand-***,SCOTT NATURALS,Flavor Type-***,Non Applicable,IKB KEY (POG)-***,799,Manufacturer-***,KIMBERLY CLARK CORP,Product Size-***,120 ct,Product Type-***,Household Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,SCM Eby Aurora,SCM EBY Aurora & McLane [Without Food Supplies],Transfer Group,SCM Parity DSP Forecast,,,,,
11493,n,BISQUICK 20z,,g,601 33 000 Grocery,Count,,GENERAL MILLS INC,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each ,1,Weight,Wt. Ounce,20,,,,,,General Merchandise,n,y,n,,,Each,1,Grocery,11493-1,3.59,u,_016000420601,Brand-***,BETTY CROCKER BISQUICK,Flavor Type-***,Non Applicable,IKB KEY (POG)-***,1488,Manufacturer-***,GENERAL MILLS INC,Product Size-***,20oz,Product Type-***,Misc. Grocery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,SCM Eby Aurora,SCM EBY Aurora & McLane [Without Food Supplies],Transfer Group,SCM Parity DSP Forecast,,,,,
122842,n,MEDICO PIPE FILTERS,,g,601 01 800 Accessories,Count,,CONWOOD SALES CO.,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,Tobacco and Services,n,y,n,,,Each,1,TOB Roll Your Own and Misc,122842-1,0.69,u,_048568002012,Brand-***,CONWOOD SALES CO.,Flavor Type-***,Non Applicable,Manufacturer-***,CONWOOD SALES CO.,Product Size-***,Misc. Tobacco,Product Type-***,Tobacco Filters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
119508,n,GARDETTO SNAK-ENS RF 6z,,g,601 04B 000 Unclassified,Count,,GENERAL MILLS INC,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each ,1,Weight,Wt. Ounce,6,,,,,,General Merchandise,n,y,n,,,Each,1,Salty,119508-1,2.89,u,_016000166691,Brand-***,GARDETTOS,Flavor Type-***,Ranch,Manufacturer-***,GENERAL MILLS INC,Product Size-***,6oz,Product Type-***,Snack Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,SCM EBY Aurora & McLane [Without Food Supplies],Transfer Group,,SCM Parity DSP Forecast,,,,,
124915,n,HEINERS 100% WHOLE WHEAT,,g,601 06 000 Unclassified,Count,,EARTHGRAINS BAKING CO INC,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,General Merchandise,n,y,n,,,Each,1,Grocery,124915-1,1.69,u,_072610003337,Brand-***,HEINERS,Flavor Type-***,Wheat,Manufacturer-***,EARTHGRAINS BAKING CO INC,Product Type-***,Bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
125278,n,HEALTH LONG BREAD,,g,601 06 000 Unclassified,Count,,HEALTHBREADS INC,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,General Merchandise,n,y,n,,,Each,1,Grocery,125278-1,2.99,u,_726249000105,Brand-***,ALL HEALTHBREADS INC,Flavor Type-***,Plain,Manufacturer-***,HEALTHBREADS INC,Product Type-***,Bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
12889,n,i/a VICTOR AUTO BULB 194 #51114,,g,601 20B 05 Parts/Accessories,Count,,Victor (automotive),,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,General Merchandise,n,y,n,,,Each,1,Auto,12889-1,0.69,u,_077231001946,Manufacturer-***,Victor (automotive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,SCM Eby Aurora,Transfer Group,,,,,,,
12889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,u,_077341511144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126688,n,HUSMAN CHEESE POPCORN 2.75z,,g,601 04A 390 Husman,Count,,HUSMAN SNACK FOODS CO,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each ,1,Weight,Wt. Ounce,2.75,,,,,,General Merchandise,n,y,n,,,Each,1,DSD Salty/Meat Snacks,126688-1,1.09,u,_041632005575,Brand-***,HUSMAN,Flavor Type-***,Cheese,IKB KEY (POG)-***,602552,Manufacturer-***,HUSMAN SNACK FOODS CO,Product Size-***,2.75oz,Product Type-***,Popcorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
128557,n,SPIN 1/32-WT RDDOT 5/CD,,g,601 34 016 Bait & Tackle,Count,,BAIT & TACKLE,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,General Merchandise,n,y,n,,,Each,1,Bait,128557-1,1.69,u,_022021500178,Brand-***,BAIT & TACKLE,Flavor Type-***,Non Applicable,Manufacturer-***,BAIT & TACKLE,Product Size-***,Non Applicable,Product Type-***,Bait & Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
131915,n,JUMEX GUAVA NECTAR CAN 11.3z,,g,601 12A 000 Blend,Count,,GRUPO JUMEX S A,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each ,1,Volume,Fl. Ounce,11.3,,,,,,CVO,n,y,n,,,Each,1,601 CVO Non Dairy,131915-1,1.09,u,_076406021604,Brand-***,JUMEX,Flavor Type-***,Guava,Manufacturer-***,GRUPO JUMEX S A,Product Size-***,Misc New Age,Product Type-***,Hispanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
132565,n,CUP NOODLES CHICKEN SALSA,,g,601 33 17 Ethnic,Count,,NISSIN FOODS USA CO INC,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,General Merchandise,n,y,n,,,Each,1,Grocery,132565-1,0.79,u,_070662031032,Brand-***,NISSIN CUP NOODLES,Flavor Type-***,Chicken,Manufacturer-***,NISSIN FOODS USA CO INC,Product Type-***,Hispanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
133533,n,CAMP SOUP HAND CRMY CHKN 10z,,g,601 33 07 Soups,Count,,CAMPBELL SOUP CO,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each ,1,Weight,Wt. Ounce,10,,,,,,General Merchandise,n,y,n,,,Each,1,Grocery,133533-1,2.79,u,_051000137371,Brand-***,CAMPBELLS,Flavor Type-***,Chicken,IKB KEY (POG)-***,1415,Manufacturer-***,CAMPBELL SOUP CO,Product Size-***,10oz,Product Type-***,Soup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,SCM Eby Aurora,SCM EBY Aurora & McLane [Without Food Supplies],Transfer Group,SCM Parity DSP Forecast,,,,,
133859,n,DAN DEE BBQ CHIP 3z,,g,601 04A 360 Dan-Dee,Count,,TROYER FARMS,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each ,1,Weight,Wt. Ounce,3,,,,,,General Merchandise,n,y,n,,,Each,1,DSD Salty/Meat Snacks,133859-1,0.99,u,_037200004729,Brand-***,DAN DEE,Flavor Type-***,Barbecue,IKB KEY (POG)-***,609983,Manufacturer-***,TROYER FARMS,Product Size-***,3oz,Product Type-***,Potato Chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
134036,n,KELLG FROSTED FLAKES 2.1z,,g,601 33 01 Cereal,Count,,KELLOGG CO,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each ,1,Weight,Wt. Ounce,2.1,,,,,,General Merchandise,n,y,n,,,Each,1,Grocery,134036-1,1.49,u,_038000635700,Brand-***,KELLOGGS FROSTED FLAKES,Flavor Type-***,Frosted,IKB KEY (POG)-***,1475,Manufacturer-***,KELLOGG CO,Product Size-***,2.1oz,Product Type-***,Cereal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,SCM Eby Aurora,SCM EBY Aurora & McLane [Without Food Supplies],Transfer Group,SCM Parity DSP Forecast,,,,,
13816,n,FIX-A-FLAT SCREW ON 12z,,g,601 20B 06 Tire Sealants,Count,,SOPUS PRODS,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each ,1,Weight,Wt. Ounce,12,,,,,,General Merchandise,n,y,n,,,Each,1,Auto,13816-1,3.79,u,_074245074577,Manufacturer-***,SOPUS PRODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,SCM Parity DSP Forecast,,,,,
1006245,n,RM EF MADISON WI  7.95,,g,601 25 001 RM Easy Finder,Count,,Rand McNally,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,General Merchandise,n,y,n,,,Each,1,Non-Food,1006245-1,7.95,u,_070609999838,Brand-***,Misc. Map,Flavor Type-***,Non Applicable,Manufacturer-***,Rand McNally,Product Type-***,Maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
143552,n,SEYFERT SALT VINEGAR CHIP 3.5z,,g,601 04A 350 Seyferts,Count,,UTZ QUALITY FOODS,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each ,1,Weight,Wt. Ounce,3.5,,,,,,General Merchandise,n,y,n,,,Each,1,DSD Salty/Meat Snacks,143552-1,0.99,u,_075939960367,Brand-***,SEYFERTS,Flavor Type-***,Salt and Vinegar,Manufacturer-***,UTZ QUALITY FOODS,Product Size-***,3.5oz,Product Type-***,Potato Chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
144940,n,LEAN POCKET PIZZA PEPPERONI,,g,601 17 000 Frozen Food,Count,,Nestle,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,General Merchandise,n,y,n,,,Each,1,Grocery,144940-1,3.19,u,_043695083057,Brand-***,Lean Pocket,Flavor Type-***,Pizza,IKB KEY (POG)-***,1277,Manufacturer-***,Nestle,Product Size-***,2pk,Product Type-***,Hot Pockets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,SCM EBY Aurora & McLane [Without Food Supplies],Transfer Group,,,,,,,
14891,n,JAYS SOUR DILL C9 1.875z $0.99,,g,601 04A 280 Jays,Count,,SNYDERS LANCE INC,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each ,1,Weight,Wt. Ounce,1.875,,,,,,General Merchandise,n,y,n,,,Each,1,DSD Salty/Meat Snacks,14891-1,1.09,u,_041200096264,Brand-***,JAYS,Flavor Type-***,Dill Pickle,Manufacturer-***,SNYDERS LANCE INC,Product Size-***,1.875oz,Product Type-***,Potato Chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
14891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,u,_041200098107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,u,_041200099098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,u,_0414122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,u,_041200004122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150870,n,NAB RITZ BITS SANDWICH JALAPENO SS,,g,601 03 000 Unclassified,Count,,MONDELEZ INTERNATIONAL INC,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,General Merchandise,n,y,n,,,Each,1,Cookie/Cracker,150870-1,0.99,u,_044000004361,Brand-***,NABISCO RITZ,Flavor Type-***,Jalapeno,Manufacturer-***,MONDELEZ INTERNATIONAL INC,Product Type-***,Crackers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,SCM Parity DSP Forecast,,,,,
152508,n,OLD DUTCH REST DIP STRIPS 13z,,g,601 04A 320 Old Dutch,Count,,OLD DUTCH FOODS INC.,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each ,1,Weight,Wt. Ounce,13,,,,,,General Merchandise,n,y,n,,,Each,1,DSD Salty/Meat Snacks,152508-1,3.49,u,_074690060170,Brand-***,OLD DUTCH FOODS INC.,Flavor Type-***,Corn,Manufacturer-***,OLD DUTCH FOODS INC.,Product Size-***,13oz,Product Type-***,Tortilla Chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
154039,n,DJARUM SUPER FILTER BX,,g,601 01 360 Filtered Cigars 20c,Count,,P T DJARUM,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,Tobacco and Services,n,y,n,,,Each,1,TOB Cigars,154039-1,7.39,u,_751667000345,Brand-***,DJARUM,Flavor Type-***,Tobacco,Manufacturer-***,P T DJARUM,Product Size-***,Misc. Tobacco,Product Type-***,Specialty Cigarettes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
154039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,u,_751667000345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154645,n,FIESTA PARTY MIX 6z,,g,601 04A 360 Dan-Dee,Count,,Dan Dee Potato Chip Co.,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each ,1,Weight,Wt. Ounce,6,,,,,,General Merchandise,n,y,n,,,Each,1,DSD Salty/Meat Snacks,154645-1,0.99,u,_077789890085,Brand-***,Dandee,Flavor Type-***,Fiesta,IKB KEY (POG)-***,821411,Manufacturer-***,Dan Dee Potato Chip Co.,Product Size-***,6oz,Product Type-***,Party Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
154855,n,BIMBO SSEOR STRAWBRY ,,g,601 03 500 Hispanic,Count,,BIMBO BAKERIES USA INC,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,General Merchandise,n,y,n,,,Each,1,DSD Cookie/Cracker/Pastry,154855-1,0.50,u,_028400036009,Brand-***,BIMBO,Flavor Type-***,Non Applicable,Manufacturer-***,BIMBO BAKERIES USA INC,Product Type-***,Misc. Snacks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transfer Group,,,,,,,,,
1009470,n,RM FM BOWLING GREEN KY,,g,601 25 002 RM Folded Map,Count,,Rand McNally,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,General Merchandise,n,y,n,,,Each,1,Non-Food,1009470-1,4.95,u,_070609856360,Brand-***,Rand McNally,Flavor Type-***,Non Applicable,Manufacturer-***,Rand McNally,Product Type-***,Maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
155419,n,ENERGIZER RECHARGEABLE AA 2PK,,g,601 24 420 Eveready Energizer,Count,,ENERGIZER HOLDINGS INC,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,General Merchandise,n,y,n,,,Each,1,Non-Food,155419-1,8.99,u,_039800008688,Brand-***,ENERGIZER,Flavor Type-***,Non Applicable,IKB KEY (POG)-***,1631,Manufacturer-***,ENERGIZER HOLDINGS INC,Product Type-***,Batteries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,SCM Eby Aurora,SCM EBY Aurora & McLane [Without Food Supplies],Transfer Group,SCM Parity DSP Forecast,,,,,
15560,n,FL LVL FUNYUNS,,g,601 04A 135 Funyuns,Count,,FRITO LAY,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,General Merchandise,n,y,n,,,Each,1,DSD Salty/Meat Snacks,15560-1,1.29,u,_028400078979,Brand-***,FUNYUNS,Flavor Type-***,Onion,IKB KEY (POG)-***,572731,Manufacturer-***,FRITO LAY,Product Size-***,LVL,Product Type-***,Single Serve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
15560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,u,_028400346832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010244,n,JAR 23z LINEN,,g,601 34 004 Candles/Candleholde,Count,,Ganz,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each ,1,Weight,Wt. Ounce,23,,,,,,General Merchandise,n,y,n,,,Each,1,Non-Food,1010244-1,18.99,u,_065810503103,Brand-***,Ganz,Flavor Type-***,Non Applicable,Manufacturer-***,Ganz,Product Size-***,23oz,Product Type-***,Candle/Tea Lights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
1010545,n,VOTIVE CRANBERRY,,g,601 34 004 Candles/Candleholde,Count,,Ganz,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,General Merchandise,n,y,n,,,Each,1,Non-Food,1010545-1,1.69,u,_065810829081,Brand-***,Ganz,Flavor Type-***,Non Applicable,Manufacturer-***,Ganz,Product Type-***,Candle/Tea Lights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
