ProductCode,Name,XRefID,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
_004366,,,,,,,,,,,,VA - 3.50,6.32,0.00,2016-01-28,2075-12-31
_004366,,,,,,,,,,,,VA - 4.00,6.32,0.00,2016-01-28,2075-12-31
_004366,,,,,,,,,,,,VA - 4.50,6.32,0.00,2016-01-28,2075-12-31
_004366,,,,,,,,,,,,VA - 5.00,6.32,0.00,2016-01-28,2075-12-31
_004366,,,,,,,,,,,,VA - 5.40,6.32,0.00,2016-01-28,2075-12-31
_004366,,,,,,,,,,,,VA - 7.50,6.32,0.00,2016-01-28,2075-12-31
_004366,,,,,,,,,,,,VA - 8.50,6.32,0.00,2016-01-28,2075-12-31
_004366,,,,,,,,,,,,VA - 9.00,6.32,0.00,2016-01-28,2075-12-31
_005527,Mrlbro MN Spanish BX 50c Off,1085673,,a,501 01 800,Carton - 10,10.00,,,u,_028200178725,Master,43.64,5.00,2017-10-19,2075-12-31
_005527,,,,,,,,,,u,_028200603517,North Carolina,45.14,5.00,2017-10-19,2075-12-31
_005527,,,,,,,,,,,,South Carolina,46.34,5.00,2017-10-19,2075-12-31
_005527,,,,,,,,,,,,VA - 1.50,45.14,5.00,2017-10-19,2075-12-31
_005527,,,,,,,,,,,,VA - 2.50,46.14,5.00,2017-10-19,2075-12-31
_005527,,,,,,,,,,,,VA - 3.00,46.64,5.00,2017-10-19,2075-12-31
_005527,,,,,,,,,,,,VA - 3.50,47.14,5.00,2017-10-19,2075-12-31
_005527,,,,,,,,,,,,VA - 4.00,47.64,5.00,2017-10-19,2075-12-31
_005527,,,,,,,,,,,,VA - 4.50,48.14,5.00,2017-10-19,2075-12-31
_005527,,,,,,,,,,,,VA - 5.00,48.64,5.00,2017-10-19,2075-12-31
_005527,,,,,,,,,,,,VA - 5.40,49.04,5.00,2017-10-19,2075-12-31
_005527,,,,,,,,,,,,VA - 7.50,51.14,5.00,2017-10-19,2075-12-31
_005527,,,,,,,,,,,,VA - 8.50,52.14,5.00,2017-10-19,2075-12-31
_005527,,,,,,,,,,,,VA - 9.00,52.64,5.00,2017-10-19,2075-12-31
_006072,JOLLY RANCHER HRD WTRMLN REG,1055085,,a,601 02 110,Case - 12,12.00,,,u,_010700517135,Master,7.22,0.00,2016-01-21,2075-12-31
_006072,,,,,,,,,,u,_010700517142,North Carolina,7.22,0.00,2016-01-21,2075-12-31
_006072,,,,,,,,,,,,South Carolina,7.22,0.00,2016-01-20,2075-12-31
_006072,,,,,,,,,,,,VA - 1.50,7.22,0.00,2016-01-21,2075-12-31
_006072,,,,,,,,,,,,VA - 2.50,7.22,0.00,2016-01-21,2075-12-31
_006072,,,,,,,,,,,,VA - 3.00,7.22,0.00,2016-01-21,2075-12-31
_006072,,,,,,,,,,,,VA - 3.50,7.22,0.00,2016-01-21,2075-12-31
_006072,,,,,,,,,,,,VA - 4.00,7.22,0.00,2016-01-21,2075-12-31
_006072,,,,,,,,,,,,VA - 4.50,7.22,0.00,2016-01-21,2075-12-31
_006072,,,,,,,,,,,,VA - 5.00,7.22,0.00,2016-01-21,2075-12-31
_006072,,,,,,,,,,,,VA - 5.40,7.22,0.00,2016-01-21,2075-12-31
_006072,,,,,,,,,,,,VA - 7.50,7.22,0.00,2016-01-21,2075-12-31
_006072,,,,,,,,,,,,VA - 8.50,7.22,0.00,2016-01-21,2075-12-31
_006072,,,,,,,,,,,,VA - 9.00,7.22,0.00,2016-01-21,2075-12-31
_006347,MOP BUCKET WRINGER W/SIDE PRESS,1085561,,a,77 01 270,Each,1.00,,,u,_601999992286,Master,36.92,0.00,2017-11-09,2075-12-31
_006347,,,,,,,,,,,,North Carolina,37.51,0.00,2017-11-09,2075-12-31
_006347,,,,,,,,,,,,South Carolina,37.86,0.00,2017-11-09,2075-12-31
_006347,,,,,,,,,,,,VA - 1.50,36.92,0.00,2017-11-09,2075-12-31
_006347,,,,,,,,,,,,VA - 2.50,36.92,0.00,2017-11-09,2075-12-31
_006347,,,,,,,,,,,,VA - 3.00,36.92,0.00,2017-11-09,2075-12-31
_006347,,,,,,,,,,,,VA - 3.50,36.92,0.00,2017-11-09,2075-12-31
_006347,,,,,,,,,,,,VA - 4.00,36.92,0.00,2017-11-09,2075-12-31
_006347,,,,,,,,,,,,VA - 4.50,36.92,0.00,2017-11-09,2075-12-31
_006347,,,,,,,,,,,,VA - 5.00,37.16,0.00,2017-11-09,2075-12-31
_006347,,,,,,,,,,,,VA - 5.40,36.92,0.00,2017-11-09,2075-12-31
_006347,,,,,,,,,,,,VA - 7.50,37.16,0.00,2017-11-09,2075-12-31
_006347,,,,,,,,,,,,VA - 8.50,37.16,0.00,2017-11-09,2075-12-31
_006347,,,,,,,,,,,,VA - 9.00,37.16,0.00,2017-11-09,2075-12-31
_007157,SNAPON DUSTMOP FRAME 24in,x1-1085562,,a,77 01 270,Case - 12,12.00,,,u,_601999992248,Master,31.88,0.00,1900-01-01,2075-12-31
_007417,CT KIDS SPRAY SPF 50 5.5z,1082357,,a,601 27 102,Each,1.00,,,u,_041100001405,Master,7.02,0.00,1900-01-01,2075-12-31
_007417,,,,,,,,,,u,_041100006684,North Carolina,7.02,0.00,2018-04-05,2075-12-31
_007417,,,,,,,,,,,,South Carolina,7.02,0.00,2018-04-05,2075-12-31
_007417,,,,,,,,,,,,VA - 1.50,7.02,0.00,2018-04-05,2075-12-31
_007417,,,,,,,,,,,,VA - 2.50,7.02,0.00,2018-04-05,2075-12-31
_007417,,,,,,,,,,,,VA - 3.00,7.02,0.00,2018-04-05,2075-12-31
_007417,,,,,,,,,,,,VA - 3.50,7.02,0.00,2018-04-05,2075-12-31
_007417,,,,,,,,,,,,VA - 4.00,7.02,0.00,2018-04-05,2075-12-31
_007417,,,,,,,,,,,,VA - 4.50,7.02,0.00,2018-04-05,2075-12-31
_007417,,,,,,,,,,,,VA - 5.00,7.02,0.00,2018-04-05,2075-12-31
_007417,,,,,,,,,,,,VA - 5.40,7.02,0.00,2018-04-05,2075-12-31
_007417,,,,,,,,,,,,VA - 7.50,7.02,0.00,2018-04-05,2075-12-31
_007417,,,,,,,,,,,,VA - 8.50,7.02,0.00,2018-04-05,2075-12-31
_007417,,,,,,,,,,,,VA - 9.00,7.02,0.00,2018-04-05,2075-12-31
_008507,COMCAPP PEPMNT MOCHA,1085601,,a,212 02 001,Case - 6,6.00,,,u,_046287623006,Master,15.68,0.00,1900-01-01,2075-12-31
_008507,,,,,,,,,,,,North Carolina,15.68,0.00,2017-10-12,2075-12-31
_008507,,,,,,,,,,,,South Carolina,15.68,0.00,2017-10-12,2075-12-31
_008507,,,,,,,,,,,,VA - 1.50,15.68,0.00,2017-10-12,2075-12-31
_008507,,,,,,,,,,,,VA - 2.50,15.68,0.00,2017-10-12,2075-12-31
_008507,,,,,,,,,,,,VA - 3.00,15.68,0.00,2017-10-12,2075-12-31
_008507,,,,,,,,,,,,VA - 3.50,15.68,0.00,2017-10-12,2075-12-31
_008507,,,,,,,,,,,,VA - 4.00,15.68,0.00,2017-10-12,2075-12-31
_008507,,,,,,,,,,,,VA - 4.50,15.68,0.00,2017-10-12,2075-12-31
_008507,,,,,,,,,,,,VA - 5.00,15.68,0.00,2017-10-12,2075-12-31
_008507,,,,,,,,,,,,VA - 5.40,15.68,0.00,2017-10-12,2075-12-31
_008507,,,,,,,,,,,,VA - 7.50,15.68,0.00,2017-10-12,2075-12-31
_008507,,,,,,,,,,,,VA - 8.50,15.68,0.00,2017-10-12,2075-12-31
_008507,,,,,,,,,,,,VA - 9.00,15.68,0.00,2017-10-12,2075-12-31
_011882,ICE BREAKERS ICE CUBE PEPERMNT,164905,,a,601 02A 118,Case - 8,8.00,,,u,_034000009855,Master,0.00,0.00,2016-01-18,2075-12-31
_016253,i/aPIERRE SOUTHERN FRIED CHICKEN,10184029,,a,221 01 100,Box - 12,12.00,,,u,_071421001334,Master,0.00,0.00,2016-01-18,2075-12-31
_017046,WHOPPERS PEG,14299,,a,601 02W 110,Each,1.00,,,u,_010700702029,Master,1.54,0.00,2016-01-21,2075-12-31
_017046,,,,,,,,,,,,North Carolina,1.54,0.00,2016-01-21,2075-12-31
_017046,,,,,,,,,,,,South Carolina,1.54,0.00,2016-01-20,2075-12-31
_017046,,,,,,,,,,,,VA - 1.50,1.54,0.00,2016-01-21,2075-12-31
_017046,,,,,,,,,,,,VA - 2.50,1.54,0.00,2016-01-21,2075-12-31
_017046,,,,,,,,,,,,VA - 3.00,1.54,0.00,2016-01-21,2075-12-31
_017046,,,,,,,,,,,,VA - 3.50,1.54,0.00,2016-01-21,2075-12-31
_017046,,,,,,,,,,,,VA - 4.00,1.54,0.00,2016-01-21,2075-12-31
_017046,,,,,,,,,,,,VA - 4.50,1.54,0.00,2016-01-21,2075-12-31
_017046,,,,,,,,,,,,VA - 5.00,1.54,0.00,2016-01-21,2075-12-31
_017046,,,,,,,,,,,,VA - 5.40,1.54,0.00,2016-01-21,2075-12-31
_017046,,,,,,,,,,,,VA - 7.50,1.54,0.00,2016-01-21,2075-12-31
_017046,,,,,,,,,,,,VA - 8.50,1.54,0.00,2016-01-21,2075-12-31
_017046,,,,,,,,,,,,VA - 9.00,1.54,0.00,2016-01-21,2075-12-31
_017367,M&M CRNCHY RSBRY VT FLV KING,1086901,,a,601 02 240,Box - 24,24.00,,,u,_040000527268,Master,25.94,0.00,1900-01-01,2075-12-31
_017367,,,,,,,,,,u,_040000527275,North Carolina,25.94,0.00,2018-02-22,2075-12-31
_017367,,,,,,,,,,,,South Carolina,25.94,0.00,2018-02-22,2075-12-31
_017367,,,,,,,,,,,,VA - 1.50,25.94,0.00,2018-02-22,2075-12-31
_017367,,,,,,,,,,,,VA - 2.50,25.94,0.00,2018-02-22,2075-12-31
_017367,,,,,,,,,,,,VA - 3.00,25.94,0.00,2018-02-22,2075-12-31
_017367,,,,,,,,,,,,VA - 3.50,25.94,0.00,2018-02-22,2075-12-31
_017367,,,,,,,,,,,,VA - 4.00,25.94,0.00,2018-02-22,2075-12-31
_017367,,,,,,,,,,,,VA - 4.50,25.94,0.00,2018-02-22,2075-12-31
_017367,,,,,,,,,,,,VA - 5.00,25.94,0.00,2018-02-22,2075-12-31
_017367,,,,,,,,,,,,VA - 5.40,25.94,0.00,2018-02-22,2075-12-31
_017367,,,,,,,,,,,,VA - 7.50,25.94,0.00,2018-02-22,2075-12-31
_017367,,,,,,,,,,,,VA - 8.50,25.94,0.00,2018-02-22,2075-12-31
_017367,,,,,,,,,,,,VA - 9.00,25.94,0.00,2018-02-22,2075-12-31
_018226,PIERRE PB JAMWICH W/GRAPE 2.8 OZ,10170540,,a,221 07 100,Case - 24,24.00,,,u,_071421921205,Master,13.01,2.54,2018-03-18,2075-12-31
_018226,,,,,,,,,,u,_075999010026,North Carolina,13.01,2.54,2018-03-18,2075-12-31
_018226,,,,,,,,,,,,South Carolina,13.01,2.54,2018-03-18,2075-12-31
_018226,,,,,,,,,,,,VA - 1.50,13.01,2.54,2018-03-18,2075-12-31
_018226,,,,,,,,,,,,VA - 2.50,13.01,2.54,2018-03-18,2075-12-31
_018226,,,,,,,,,,,,VA - 3.00,13.01,2.54,2018-03-18,2075-12-31
_018226,,,,,,,,,,,,VA - 3.50,13.01,2.54,2018-03-18,2075-12-31
_018226,,,,,,,,,,,,VA - 4.00,13.01,2.54,2018-03-18,2075-12-31
_018226,,,,,,,,,,,,VA - 4.50,13.01,2.54,2018-03-18,2075-12-31
_018226,,,,,,,,,,,,VA - 5.00,13.01,2.54,2018-03-18,2075-12-31
_018226,,,,,,,,,,,,VA - 5.40,13.01,2.54,2018-03-18,2075-12-31
_018226,,,,,,,,,,,,VA - 7.50,13.01,2.54,2018-03-18,2075-12-31
_018226,,,,,,,,,,,,VA - 8.50,13.01,2.54,2018-03-18,2075-12-31
_018226,,,,,,,,,,,,VA - 9.00,13.01,2.54,2018-03-18,2075-12-31
_018417,BROOM LOBBY ANGLED 30in,1085572,,a,77 01 120,Each,1.00,,,u,_601999992262,Master,4.44,0.00,2017-11-09,2075-12-31
_018417,,,,,,,,,,,,North Carolina,4.52,0.00,2017-11-09,2075-12-31
_018417,,,,,,,,,,,,South Carolina,4.56,0.00,2017-11-09,2075-12-31
_018417,,,,,,,,,,,,VA - 1.50,4.44,0.00,2017-11-09,2075-12-31
_018417,,,,,,,,,,,,VA - 2.50,4.44,0.00,2017-11-09,2075-12-31
_018417,,,,,,,,,,,,VA - 3.00,4.44,0.00,2017-11-09,2075-12-31
_018417,,,,,,,,,,,,VA - 3.50,4.44,0.00,2017-11-09,2075-12-31
_018417,,,,,,,,,,,,VA - 4.00,4.44,0.00,2017-11-09,2075-12-31
_018417,,,,,,,,,,,,VA - 4.50,4.44,0.00,2017-11-09,2075-12-31
_018417,,,,,,,,,,,,VA - 5.00,4.47,0.00,2017-11-09,2075-12-31
_018417,,,,,,,,,,,,VA - 5.40,4.44,0.00,2017-11-09,2075-12-31
_018417,,,,,,,,,,,,VA - 7.50,4.47,0.00,2017-11-09,2075-12-31
_018417,,,,,,,,,,,,VA - 8.50,4.47,0.00,2017-11-09,2075-12-31
_018417,,,,,,,,,,,,VA - 9.00,4.47,0.00,2017-11-09,2075-12-31
_019398,WONDERFUL ALMONDS 5z,1053005,,a,601 04B 000,Box - 8,8.00,,,u,_014113210300,Master,20.97,0.00,2016-01-21,2075-12-31
_019398,,,,,,,,,,,,North Carolina,20.97,0.00,2016-01-21,2075-12-31
_019398,,,,,,,,,,,,South Carolina,20.97,0.00,2016-01-20,2075-12-31
_019398,,,,,,,,,,,,VA - 1.50,20.97,0.00,2016-01-21,2075-12-31
_019398,,,,,,,,,,,,VA - 2.50,20.97,0.00,2016-01-21,2075-12-31
_019398,,,,,,,,,,,,VA - 3.00,20.97,0.00,2016-01-21,2075-12-31
_019398,,,,,,,,,,,,VA - 3.50,20.97,0.00,2016-01-21,2075-12-31
_019398,,,,,,,,,,,,VA - 4.00,20.97,0.00,2016-01-21,2075-12-31
_019398,,,,,,,,,,,,VA - 4.50,20.97,0.00,2016-01-21,2075-12-31
_019398,,,,,,,,,,,,VA - 5.00,20.97,0.00,2016-01-21,2075-12-31
_019398,,,,,,,,,,,,VA - 5.40,20.97,0.00,2016-01-21,2075-12-31
_019398,,,,,,,,,,,,VA - 7.50,20.97,0.00,2016-01-21,2075-12-31
_019398,,,,,,,,,,,,VA - 8.50,20.97,0.00,2016-01-21,2075-12-31
_019398,,,,,,,,,,,,VA - 9.00,20.97,0.00,2016-01-21,2075-12-31
_019943,HI CHEW GRAPE,1064159,,a,601 02A 000,Box - 10,10.00,,,u,_873983000011,Master,6.12,0.00,2018-05-10,2075-12-31
_019943,,,,,,,,,,,,North Carolina,6.12,0.00,2018-05-10,2075-12-31
_019943,,,,,,,,,,,,South Carolina,6.12,0.00,2018-05-10,2075-12-31
_019943,,,,,,,,,,,,VA - 1.50,6.12,0.00,2018-05-10,2075-12-31
_019943,,,,,,,,,,,,VA - 2.50,6.12,0.00,2018-05-10,2075-12-31
_019943,,,,,,,,,,,,VA - 3.00,6.12,0.00,2018-05-10,2075-12-31
_019943,,,,,,,,,,,,VA - 3.50,6.12,0.00,2018-05-10,2075-12-31
_019943,,,,,,,,,,,,VA - 4.00,6.12,0.00,2018-05-10,2075-12-31
_019943,,,,,,,,,,,,VA - 4.50,6.12,0.00,2018-05-10,2075-12-31
_019943,,,,,,,,,,,,VA - 5.00,6.12,0.00,2018-05-10,2075-12-31
_019943,,,,,,,,,,,,VA - 5.40,6.12,0.00,2018-05-10,2075-12-31
_019943,,,,,,,,,,,,VA - 7.50,6.12,0.00,2018-05-10,2075-12-31
_019943,,,,,,,,,,,,VA - 8.50,6.12,0.00,2018-05-10,2075-12-31
_019943,,,,,,,,,,,,VA - 9.00,6.12,0.00,2018-05-10,2075-12-31
_020147,LABEL ISMS TRKY AMER 6in,1052081,,a,221 08 100,Case - 100,100.00,,,u,_052894121064,Master,6.91,0.00,2018-04-02,2075-12-31
_020147,,,,,,,,,,,,North Carolina,6.91,0.00,2018-04-02,2075-12-31
_020147,,,,,,,,,,,,South Carolina,6.91,0.00,2018-04-02,2075-12-31
_020147,,,,,,,,,,,,VA - 1.50,6.91,0.00,2018-04-02,2075-12-31
_020147,,,,,,,,,,,,VA - 2.50,6.91,0.00,2018-04-02,2075-12-31
_020147,,,,,,,,,,,,VA - 3.00,6.91,0.00,2018-04-02,2075-12-31
_020147,,,,,,,,,,,,VA - 3.50,6.91,0.00,2018-04-02,2075-12-31
_020147,,,,,,,,,,,,VA - 4.00,6.91,0.00,2018-04-02,2075-12-31
_020147,,,,,,,,,,,,VA - 4.50,6.91,0.00,2018-04-02,2075-12-31
_020147,,,,,,,,,,,,VA - 5.00,6.91,0.00,2018-04-02,2075-12-31
_020147,,,,,,,,,,,,VA - 5.40,6.91,0.00,2018-04-02,2075-12-31
_020147,,,,,,,,,,,,VA - 7.50,6.91,0.00,2018-04-02,2075-12-31
_020147,,,,,,,,,,,,VA - 8.50,6.91,0.00,2018-04-02,2075-12-31
_020147,,,,,,,,,,,,VA - 9.00,6.91,0.00,2018-04-02,2075-12-31
_022657,SCOTCH BRITE SPONGE,10165327,,a,601 23 101,Each,1.00,,,u,_021200001833,Master,0.90,0.00,2016-01-21,2075-12-31
_022657,,,,,,,,,,,,North Carolina,0.90,0.00,2016-01-21,2075-12-31
_022657,,,,,,,,,,,,South Carolina,0.90,0.00,2016-01-20,2075-12-31
_022657,,,,,,,,,,,,VA - 1.50,0.90,0.00,2016-01-21,2075-12-31
_022657,,,,,,,,,,,,VA - 2.50,0.90,0.00,2016-01-21,2075-12-31
_022657,,,,,,,,,,,,VA - 3.00,0.90,0.00,2016-01-21,2075-12-31
_022657,,,,,,,,,,,,VA - 3.50,0.90,0.00,2016-01-21,2075-12-31
_022657,,,,,,,,,,,,VA - 4.00,0.90,0.00,2016-01-21,2075-12-31
_022657,,,,,,,,,,,,VA - 4.50,0.90,0.00,2016-01-21,2075-12-31
_022657,,,,,,,,,,,,VA - 5.00,0.90,0.00,2016-01-21,2075-12-31
_022657,,,,,,,,,,,,VA - 5.40,0.90,0.00,2016-01-21,2075-12-31
_022657,,,,,,,,,,,,VA - 7.50,0.90,0.00,2016-01-21,2075-12-31
_022657,,,,,,,,,,,,VA - 8.50,0.90,0.00,2016-01-21,2075-12-31
_022657,,,,,,,,,,,,VA - 9.00,0.90,0.00,2016-01-21,2075-12-31
_024950,TOTINOS CHEESE WHEAT CRISPS 1.25z,1057151,,a,601 04B 000,Each,1.00,,,u,_016000486256,Master,0.88,0.00,2016-01-21,2075-12-31
_024950,,,,,,,,,,u,_016000511279,North Carolina,0.88,0.00,2016-01-21,2075-12-31
_024950,,,,,,,,,,,,South Carolina,0.88,0.00,2016-01-20,2075-12-31
_024950,,,,,,,,,,,,VA - 1.50,0.88,0.00,2016-01-21,2075-12-31
_024950,,,,,,,,,,,,VA - 2.50,0.88,0.00,2016-01-21,2075-12-31
_024950,,,,,,,,,,,,VA - 3.00,0.88,0.00,2016-01-21,2075-12-31
_024950,,,,,,,,,,,,VA - 3.50,0.88,0.00,2016-01-21,2075-12-31
_024950,,,,,,,,,,,,VA - 4.00,0.88,0.00,2016-01-21,2075-12-31
_024950,,,,,,,,,,,,VA - 4.50,0.88,0.00,2016-01-21,2075-12-31
_024950,,,,,,,,,,,,VA - 5.00,0.88,0.00,2016-01-21,2075-12-31
_024950,,,,,,,,,,,,VA - 5.40,0.88,0.00,2016-01-21,2075-12-31
_024950,,,,,,,,,,,,VA - 7.50,0.88,0.00,2016-01-21,2075-12-31
_024950,,,,,,,,,,,,VA - 8.50,0.88,0.00,2016-01-21,2075-12-31
_024950,,,,,,,,,,,,VA - 9.00,0.88,0.00,2016-01-21,2075-12-31
_025791,CVP CHARCOAL LTR FLD 32z,10165328,,a,601 27 103,Each,1.00,,,u,_761706190036,Master,2.62,0.00,2016-01-21,2075-12-31
_025791,,,,,,,,,,,,North Carolina,2.62,0.00,2016-01-21,2075-12-31
_025791,,,,,,,,,,,,South Carolina,2.62,0.00,2016-01-20,2075-12-31
_025791,,,,,,,,,,,,VA - 1.50,2.62,0.00,2016-01-21,2075-12-31
_025791,,,,,,,,,,,,VA - 2.50,2.62,0.00,2016-01-21,2075-12-31
_025791,,,,,,,,,,,,VA - 3.00,2.62,0.00,2016-01-21,2075-12-31
_025791,,,,,,,,,,,,VA - 3.50,2.62,0.00,2016-01-21,2075-12-31
_025791,,,,,,,,,,,,VA - 4.00,2.62,0.00,2016-01-21,2075-12-31
_025791,,,,,,,,,,,,VA - 4.50,2.62,0.00,2016-01-21,2075-12-31
_025791,,,,,,,,,,,,VA - 5.00,2.62,0.00,2016-01-21,2075-12-31
_025791,,,,,,,,,,,,VA - 5.40,2.62,0.00,2016-01-21,2075-12-31
_025791,,,,,,,,,,,,VA - 7.50,2.62,0.00,2016-01-21,2075-12-31
_025791,,,,,,,,,,,,VA - 8.50,2.62,0.00,2016-01-21,2075-12-31
_025791,,,,,,,,,,,,VA - 9.00,2.62,0.00,2016-01-21,2075-12-31
_026087,Starburst Mini Sours SUB,1085803,,a,601 02B 000,Each,1.00,,,u,_022000020680,Master,1.65,0.00,2017-11-06,2075-12-31
_026087,,,,,,,,,,,,North Carolina,1.65,0.00,2017-12-14,2075-12-31
_026087,,,,,,,,,,,,South Carolina,1.65,0.00,2017-12-14,2075-12-31
_026087,,,,,,,,,,,,VA - 1.50,1.65,0.00,2017-12-14,2075-12-31
_026087,,,,,,,,,,,,VA - 2.50,1.65,0.00,2017-12-14,2075-12-31
_026087,,,,,,,,,,,,VA - 3.00,1.65,0.00,2017-12-14,2075-12-31
_026087,,,,,,,,,,,,VA - 3.50,1.65,0.00,2017-12-14,2075-12-31
_026087,,,,,,,,,,,,VA - 4.00,1.65,0.00,2017-12-14,2075-12-31
_026087,,,,,,,,,,,,VA - 4.50,1.65,0.00,2017-12-14,2075-12-31
_026087,,,,,,,,,,,,VA - 5.00,1.65,0.00,2017-12-14,2075-12-31
_026087,,,,,,,,,,,,VA - 5.40,1.65,0.00,2017-12-14,2075-12-31
_026087,,,,,,,,,,,,VA - 7.50,1.65,0.00,2017-12-14,2075-12-31
_026087,,,,,,,,,,,,VA - 8.50,1.65,0.00,2017-12-14,2075-12-31
_026087,,,,,,,,,,,,VA - 9.00,1.65,0.00,2017-12-14,2075-12-31
